Date,Area,GEN,AGG,CNT
202001,서울 양천구,1,3,187
202001,서울 양천구,1,4,97
202001,서울 양천구,1,5,83
202001,서울 양천구,2,0,89
202001,서울 양천구,2,1,62
202001,서울 양천구,2,2,64
202001,서울 양천구,2,3,252
202001,서울 양천구,2,4,147
202001,서울 양천구,2,5,90
202001,서울 강서구,1,0,158
202001,서울 강서구,1,1,105
202001,서울 강서구,1,2,58
202001,서울 강서구,1,3,246
202001,서울 강서구,1,4,130
202001,서울 강서구,1,5,133
202001,서울 강서구,2,0,128
202001,서울 강서구,2,1,104
202001,서울 강서구,2,2,61
202001,서울 강서구,2,3,343
202001,서울 강서구,2,4,168
202001,서울 강서구,2,5,138
202001,서울 구로구,1,0,115
202001,서울 구로구,1,1,58
202001,서울 구로구,1,2,28
202001,서울 구로구,1,3,141
202001,서울 구로구,1,4,66
202001,서울 구로구,1,5,60
202001,서울 구로구,2,0,108
202001,서울 구로구,2,1,55
202001,서울 구로구,2,2,34
202001,서울 구로구,2,3,219
202001,서울 구로구,2,4,70
202001,서울 구로구,2,5,51
202001,서울 금천구,1,0,42
202001,서울 금천구,1,1,23
202001,서울 금천구,1,2,17
202001,서울 금천구,1,3,93
202001,서울 금천구,1,4,50
202001,서울 금천구,1,5,36
202001,서울 금천구,2,0,56
202001,서울 금천구,2,1,19
202001,서울 금천구,2,2,16
202001,서울 금천구,2,3,101
202001,서울 금천구,2,4,68
202001,서울 금천구,2,5,23
202001,서울 영등포구,1,0,103
202001,서울 영등포구,1,1,62
202001,서울 영등포구,1,2,34
202001,서울 영등포구,1,3,164
202001,서울 영등포구,1,4,79
202001,서울 영등포구,1,5,62
202001,서울 영등포구,2,0,121
202001,서울 영등포구,2,1,59
202001,서울 영등포구,2,2,30
202001,서울 영등포구,2,3,234
202001,서울 영등포구,2,4,87
202001,서울 영등포구,2,5,55
202001,서울 동작구,1,0,113
202001,서울 동작구,1,1,63
202001,서울 동작구,1,2,39
202001,서울 동작구,1,3,198
202001,서울 동작구,1,4,56
202001,서울 동작구,1,5,55
202001,서울 동작구,2,0,100
202001,서울 동작구,2,1,79
202001,서울 동작구,2,2,40
202001,서울 동작구,2,3,249
202001,서울 동작구,2,4,96
202001,서울 동작구,2,5,44
202001,서울 관악구,1,0,98
202001,서울 관악구,1,1,68
202001,서울 관악구,1,2,37
202001,서울 관악구,1,3,241
202001,서울 관악구,1,4,80
202001,서울 관악구,1,5,59
202001,서울 관악구,2,0,85
202001,서울 관악구,2,1,60
202001,서울 관악구,2,2,40
202001,서울 관악구,2,3,311
202001,서울 관악구,2,4,100
202001,서울 관악구,2,5,40
202001,서울 서초구,1,0,110
202001,서울 서초구,1,1,95
202001,서울 서초구,1,2,66
202001,서울 서초구,1,3,210
202001,서울 서초구,1,4,116
202001,서울 서초구,1,5,102
202001,서울 서초구,2,0,98
202001,서울 서초구,2,1,87
202001,서울 서초구,2,2,55
202001,서울 서초구,2,3,279
202001,서울 서초구,2,4,155
202001,서울 서초구,2,5,76
202001,서울 강남구,1,0,136
202001,서울 강남구,1,1,114
202001,서울 강남구,1,2,80
202001,서울 강남구,1,3,239
202001,서울 강남구,1,4,108
202001,서울 강남구,1,5,74
202001,서울 강남구,2,0,109
202001,서울 강남구,2,1,90
202001,서울 강남구,2,2,83
202001,서울 강남구,2,3,355
202001,서울 강남구,2,4,176
202001,서울 강남구,2,5,72
202001,서울 송파구,1,0,242
202001,서울 송파구,1,1,139
202001,서울 송파구,1,2,83
202001,서울 송파구,1,3,294
202001,서울 송파구,1,4,140
202001,서울 송파구,1,5,147
202001,서울 송파구,2,0,176
202001,서울 송파구,2,1,145
202001,서울 송파구,2,2,65
202001,서울 송파구,2,3,492
202001,서울 송파구,2,4,214
202001,서울 송파구,2,5,97
202001,서울 강동구,1,0,162
202001,서울 강동구,1,1,142
202001,서울 강동구,1,2,79
202001,서울 강동구,1,3,240
202001,서울 강동구,1,4,127
202001,서울 강동구,1,5,93
202001,서울 강동구,2,0,177
202001,서울 강동구,2,1,130
202001,서울 강동구,2,2,68
202001,서울 강동구,2,3,365
202001,서울 강동구,2,4,195
202001,서울 강동구,2,5,106
202002,서울 종로구,1,0,17
202002,서울 종로구,1,1,18
202002,서울 종로구,1,2,12
202002,서울 종로구,1,3,52
202002,서울 종로구,1,4,33
202002,서울 종로구,1,5,25
202002,서울 종로구,2,0,23
202002,서울 종로구,2,1,12
202002,서울 종로구,2,2,10
202002,서울 종로구,2,3,66
202002,서울 종로구,2,4,36
202002,서울 종로구,2,5,20
202002,서울 중구,1,0,27
202002,서울 중구,1,1,12
202002,서울 중구,1,2,5
202002,서울 중구,1,3,35
202002,서울 중구,1,4,15
202002,서울 중구,1,5,18
202002,서울 중구,2,0,23
202002,서울 중구,2,1,11
202002,서울 중구,2,2,8
202002,서울 중구,2,3,69
202002,서울 중구,2,4,20
202002,서울 중구,2,5,14
202002,서울 용산구,1,0,44
202002,서울 용산구,1,1,18
202002,서울 용산구,1,2,10
202002,서울 용산구,1,3,96
202002,서울 용산구,1,4,47
202002,서울 용산구,1,5,45
202002,서울 용산구,2,0,45
202002,서울 용산구,2,1,20
202002,서울 용산구,2,2,12
202002,서울 용산구,2,3,144
202002,서울 용산구,2,4,53
202002,서울 용산구,2,5,28
202002,서울 성동구,1,0,79
202002,서울 성동구,1,1,36
202002,서울 성동구,1,2,22
202002,서울 성동구,1,3,119
202002,서울 성동구,1,4,55
202002,서울 성동구,1,5,29
202002,서울 성동구,2,0,80
202002,서울 성동구,2,1,54
202002,서울 성동구,2,2,23
202002,서울 성동구,2,3,193
202002,서울 성동구,2,4,88
202002,서울 성동구,2,5,41
202002,서울 광진구,1,0,79
202002,서울 광진구,1,1,41
202002,서울 광진구,1,2,27
202002,서울 광진구,1,3,127
202002,서울 광진구,1,4,69
202002,서울 광진구,1,5,57
202002,서울 광진구,2,0,62
202002,서울 광진구,2,1,53
202002,서울 광진구,2,2,25
202002,서울 광진구,2,3,221
202002,서울 광진구,2,4,78
202002,서울 광진구,2,5,29
202002,서울 동대문구,1,0,74
202002,서울 동대문구,1,1,46
202002,서울 동대문구,1,2,19
202002,서울 동대문구,1,3,149
202002,서울 동대문구,1,4,36
202002,서울 동대문구,1,5,55
202002,서울 동대문구,2,0,70
202002,서울 동대문구,2,1,38
202002,서울 동대문구,2,2,30
202002,서울 동대문구,2,3,185
202002,서울 동대문구,2,4,57
202002,서울 동대문구,2,5,38
202002,서울 중랑구,1,0,96
202002,서울 중랑구,1,1,34
202002,서울 중랑구,1,2,19
202002,서울 중랑구,1,3,107
202002,서울 중랑구,1,4,54
202002,서울 중랑구,1,5,63
202002,서울 중랑구,2,0,69
202002,서울 중랑구,2,1,49
202002,서울 중랑구,2,2,39
202002,서울 중랑구,2,3,173
202002,서울 중랑구,2,4,73
202002,서울 중랑구,2,5,48
202002,서울 성북구,1,0,110
202002,서울 성북구,1,1,68
202002,서울 성북구,1,2,32
202002,서울 성북구,1,3,146
202002,서울 성북구,1,4,55
202002,서울 성북구,1,5,71
202002,서울 성북구,2,0,100
202002,서울 성북구,2,1,59
202002,서울 성북구,2,2,26
202002,서울 성북구,2,3,195
202002,서울 성북구,2,4,72
202002,서울 성북구,2,5,62
202002,서울 강북구,1,0,64
202002,서울 강북구,1,1,28
202002,서울 강북구,1,2,32
202002,서울 강북구,1,3,115
202002,서울 강북구,1,4,49
202002,서울 강북구,1,5,48
202002,서울 강북구,2,0,45
202002,서울 강북구,2,1,40
202002,서울 강북구,2,2,24
202002,서울 강북구,2,3,145
202002,서울 강북구,2,4,85
202002,서울 강북구,2,5,51
202002,서울 도봉구,1,0,63
202002,서울 도봉구,1,1,28
202002,서울 도봉구,1,2,26
202002,서울 도봉구,1,3,89
202002,서울 도봉구,1,4,38
202002,서울 도봉구,1,5,42
202002,서울 도봉구,2,0,46
202002,서울 도봉구,2,1,39
202002,서울 도봉구,2,2,35
202002,서울 도봉구,2,3,115
202002,서울 도봉구,2,4,44
202002,서울 도봉구,2,5,36
202002,서울 노원구,1,0,109
202002,서울 노원구,1,1,70
202002,서울 노원구,1,2,43
202002,서울 노원구,1,3,139
202002,서울 노원구,1,4,77
202002,서울 노원구,1,5,65
202002,서울 노원구,2,0,88
202002,서울 노원구,2,1,53
202002,서울 노원구,2,2,40
202002,서울 노원구,2,3,189
202002,서울 노원구,2,4,115
202002,서울 노원구,2,5,62
202002,서울 은평구,1,0,99
202002,서울 은평구,1,1,77
202002,서울 은평구,1,2,53
202002,서울 은평구,1,3,227
202002,서울 은평구,1,4,138
202002,서울 은평구,1,5,112
202002,서울 은평구,2,0,121
202002,서울 은평구,2,1,79
202002,서울 은평구,2,2,49
202002,서울 은평구,2,3,315
202002,서울 은평구,2,4,168
202002,서울 은평구,2,5,111
202002,서울 서대문구,1,0,76
202002,서울 서대문구,1,1,41
202002,서울 서대문구,1,2,36
202002,서울 서대문구,1,3,155
202002,서울 서대문구,1,4,59
202002,서울 서대문구,1,5,56
202002,서울 서대문구,2,0,54
202002,서울 서대문구,2,1,57
202002,서울 서대문구,2,2,27
202002,서울 서대문구,2,3,205
202002,서울 서대문구,2,4,102
202002,서울 서대문구,2,5,72
202002,서울 마포구,1,0,97
202002,서울 마포구,1,1,29
202002,서울 마포구,1,2,40
202002,서울 마포구,1,3,185
202002,서울 마포구,1,4,62
202002,서울 마포구,1,5,54
202002,서울 마포구,2,0,80
202002,서울 마포구,2,1,43
202002,서울 마포구,2,2,38
202002,서울 마포구,2,3,280
202002,서울 마포구,2,4,84
202002,서울 마포구,2,5,47
202002,서울 양천구,1,0,79
202002,서울 양천구,1,1,88
202002,서울 양천구,1,2,60
202002,서울 양천구,1,3,168
202002,서울 양천구,1,4,89
202002,서울 양천구,1,5,73
202002,서울 양천구,2,0,54
202002,서울 양천구,2,1,68
202002,서울 양천구,2,2,58
202002,서울 양천구,2,3,241
202002,서울 양천구,2,4,126
202002,서울 양천구,2,5,63
202002,서울 강서구,1,0,148
202002,서울 강서구,1,1,78
202002,서울 강서구,1,2,46
202002,서울 강서구,1,3,212
202002,서울 강서구,1,4,109
202002,서울 강서구,1,5,120
202002,서울 강서구,2,0,116
202002,서울 강서구,2,1,84
202002,서울 강서구,2,2,52
202002,서울 강서구,2,3,299
