Date,Area,GEN,AGG,CNT
202001,서울 양천구,1,3,133
202001,서울 양천구,1,4,199
202001,서울 양천구,1,5,237
202001,서울 양천구,2,0,133
202001,서울 양천구,2,1,85
202001,서울 양천구,2,2,25
202001,서울 양천구,2,3,160
202001,서울 양천구,2,4,289
202001,서울 양천구,2,5,276
202001,서울 강서구,1,0,207
202001,서울 강서구,1,1,133
202001,서울 강서구,1,2,42
202001,서울 강서구,1,3,221
202001,서울 강서구,1,4,226
202001,서울 강서구,1,5,268
202001,서울 강서구,2,0,149
202001,서울 강서구,2,1,132
202001,서울 강서구,2,2,28
202001,서울 강서구,2,3,313
202001,서울 강서구,2,4,377
202001,서울 강서구,2,5,341
202001,서울 구로구,1,0,124
202001,서울 구로구,1,1,65
202001,서울 구로구,1,2,15
202001,서울 구로구,1,3,139
202001,서울 구로구,1,4,161
202001,서울 구로구,1,5,218
202001,서울 구로구,2,0,111
202001,서울 구로구,2,1,45
202001,서울 구로구,2,2,9
202001,서울 구로구,2,3,162
202001,서울 구로구,2,4,264
202001,서울 구로구,2,5,297
202001,서울 금천구,1,0,52
202001,서울 금천구,1,1,17
202001,서울 금천구,1,2,12
202001,서울 금천구,1,3,60
202001,서울 금천구,1,4,67
202001,서울 금천구,1,5,87
202001,서울 금천구,2,0,39
202001,서울 금천구,2,1,22
202001,서울 금천구,2,2,3
202001,서울 금천구,2,3,79
202001,서울 금천구,2,4,123
202001,서울 금천구,2,5,109
202001,서울 영등포구,1,0,125
202001,서울 영등포구,1,1,84
202001,서울 영등포구,1,2,38
202001,서울 영등포구,1,3,203
202001,서울 영등포구,1,4,244
202001,서울 영등포구,1,5,214
202001,서울 영등포구,2,0,109
202001,서울 영등포구,2,1,73
202001,서울 영등포구,2,2,20
202001,서울 영등포구,2,3,269
202001,서울 영등포구,2,4,332
202001,서울 영등포구,2,5,309
202001,서울 동작구,1,0,134
202001,서울 동작구,1,1,97
202001,서울 동작구,1,2,25
202001,서울 동작구,1,3,211
202001,서울 동작구,1,4,165
202001,서울 동작구,1,5,212
202001,서울 동작구,2,0,120
202001,서울 동작구,2,1,90
202001,서울 동작구,2,2,13
202001,서울 동작구,2,3,248
202001,서울 동작구,2,4,250
202001,서울 동작구,2,5,270
202001,서울 관악구,1,0,116
202001,서울 관악구,1,1,88
202001,서울 관악구,1,2,22
202001,서울 관악구,1,3,237
202001,서울 관악구,1,4,190
202001,서울 관악구,1,5,259
202001,서울 관악구,2,0,93
202001,서울 관악구,2,1,73
202001,서울 관악구,2,2,25
202001,서울 관악구,2,3,319
202001,서울 관악구,2,4,275
202001,서울 관악구,2,5,344
202001,서울 서초구,1,0,113
202001,서울 서초구,1,1,123
202001,서울 서초구,1,2,48
202001,서울 서초구,1,3,161
202001,서울 서초구,1,4,170
202001,서울 서초구,1,5,123
202001,서울 서초구,2,0,87
202001,서울 서초구,2,1,75
202001,서울 서초구,2,2,39
202001,서울 서초구,2,3,181
202001,서울 서초구,2,4,227
202001,서울 서초구,2,5,173
202001,서울 강남구,1,0,171
202001,서울 강남구,1,1,157
202001,서울 강남구,1,2,54
202001,서울 강남구,1,3,206
202001,서울 강남구,1,4,186
202001,서울 강남구,1,5,190
202001,서울 강남구,2,0,122
202001,서울 강남구,2,1,124
202001,서울 강남구,2,2,41
202001,서울 강남구,2,3,313
202001,서울 강남구,2,4,242
202001,서울 강남구,2,5,228
202001,서울 송파구,1,0,237
202001,서울 송파구,1,1,167
202001,서울 송파구,1,2,57
202001,서울 송파구,1,3,299
202001,서울 송파구,1,4,295
202001,서울 송파구,1,5,289
202001,서울 송파구,2,0,205
202001,서울 송파구,2,1,159
202001,서울 송파구,2,2,48
202001,서울 송파구,2,3,459
202001,서울 송파구,2,4,429
202001,서울 송파구,2,5,365
202001,서울 강동구,1,0,137
202001,서울 강동구,1,1,98
202001,서울 강동구,1,2,17
202001,서울 강동구,1,3,215
202001,서울 강동구,1,4,191
202001,서울 강동구,1,5,270
202001,서울 강동구,2,0,104
202001,서울 강동구,2,1,72
202001,서울 강동구,2,2,18
202001,서울 강동구,2,3,283
202001,서울 강동구,2,4,356
202001,서울 강동구,2,5,276
202002,서울 종로구,1,0,11
202002,서울 종로구,1,1,13
202002,서울 종로구,1,2,5
202002,서울 종로구,1,3,39
202002,서울 종로구,1,4,41
202002,서울 종로구,1,5,53
202002,서울 종로구,2,0,13
202002,서울 종로구,2,1,12
202002,서울 종로구,2,2,5
202002,서울 종로구,2,3,63
202002,서울 종로구,2,4,71
202002,서울 종로구,2,5,49
202002,서울 중구,1,0,23
202002,서울 중구,1,1,31
202002,서울 중구,1,2,8
202002,서울 중구,1,3,52
202002,서울 중구,1,4,31
202002,서울 중구,1,5,51
202002,서울 중구,2,0,21
202002,서울 중구,2,1,31
202002,서울 중구,2,2,3
202002,서울 중구,2,3,64
202002,서울 중구,2,4,67
202002,서울 중구,2,5,55
202002,서울 용산구,1,0,38
202002,서울 용산구,1,1,26
202002,서울 용산구,1,2,3
202002,서울 용산구,1,3,51
202002,서울 용산구,1,4,51
202002,서울 용산구,1,5,61
202002,서울 용산구,2,0,24
202002,서울 용산구,2,1,12
202002,서울 용산구,2,2,4
202002,서울 용산구,2,3,53
202002,서울 용산구,2,4,67
202002,서울 용산구,2,5,66
202002,서울 성동구,1,0,84
202002,서울 성동구,1,1,49
202002,서울 성동구,1,2,8
202002,서울 성동구,1,3,97
202002,서울 성동구,1,4,103
202002,서울 성동구,1,5,89
202002,서울 성동구,2,0,64
202002,서울 성동구,2,1,40
202002,서울 성동구,2,2,14
202002,서울 성동구,2,3,114
202002,서울 성동구,2,4,134
202002,서울 성동구,2,5,108
202002,서울 광진구,1,0,72
202002,서울 광진구,1,1,70
202002,서울 광진구,1,2,18
202002,서울 광진구,1,3,107
202002,서울 광진구,1,4,106
202002,서울 광진구,1,5,97
202002,서울 광진구,2,0,66
202002,서울 광진구,2,1,55
202002,서울 광진구,2,2,19
202002,서울 광진구,2,3,147
202002,서울 광진구,2,4,157
202002,서울 광진구,2,5,138
202002,서울 동대문구,1,0,94
202002,서울 동대문구,1,1,55
202002,서울 동대문구,1,2,20
