지역,측정소명,측정소코드,측정일시,SO2,CO,O3,NO2,PM10,주소
서울,강서구,111212,20030309,0.004,1,0.008,0.059,90,서울 강서구 화곡동
서울,강서구,111212,20030312,0.014,1.1,0.009,0.084,153,서울 강서구 화곡동
서울,강서구,111212,20030314,-999,-999,-999,-999,-999,서울 강서구 화곡동
서울,서대문구,111191,20030320,0.007,0.8,0.008,0.06,90,서울 서대문구 연희동
서울,서대문구,111191,20030321,0.005,0.4,0.022,0.041,48,서울 서대문구 연희동
서울,서대문구,111191,20030322,0.004,0.5,0.013,0.047,50,서울 서대문구 연희동
서울,서대문구,111191,20030323,0.013,0.8,0.001,0.07,126,서울 서대문구 연희동
서울,마포구,111201,20030203,0.005,0.5,0.024,0.035,40,서울 마포구 대흥동
서울,마포구,111201,20030205,0.01,0.8,0.013,0.046,70,서울 마포구 대흥동
서울,마포구,111201,20030207,0.015,0.8,0.002,0.046,77,서울 마포구 대흥동
서울,마포구,111201,20030208,0.003,0.5,0.007,0.042,42,서울 마포구 대흥동
서울,마포구,111201,20030209,0.014,1.8,0.003,0.071,103,서울 마포구 대흥동
서울,신촌로,111202,20030225,0.014,0.8,0.008,0.037,206,서울 마포구 노고산동
서울,신촌로,111202,20030226,0.015,0.6,0.008,0.049,189,서울 마포구 노고산동
서울,신촌로,111202,20030227,0.01,0.8,0.013,0.028,55,서울 마포구 노고산동
서울,신촌로,111202,20030228,0.009,1.2,0.011,0.033,73,서울 마포구 노고산동
서울,신촌로,111202,20030301,0.009,0.6,0.008,0.036,157,서울 마포구 노고산동
서울,신촌로,111202,20030302,0.01,0.9,0.01,0.032,170,서울 마포구 노고산동
서울,신촌로,111202,20030303,0.008,0.9,0.011,0.031,112,서울 마포구 노고산동
서울,강서구,111212,20030315,0.011,1.1,0.012,0.074,145,서울 강서구 화곡동
서울,강서구,111212,20030321,0.005,0.6,0.022,0.05,74,서울 강서구 화곡동
서울,서대문구,111191,20030327,0.002,0.4,0.022,0.026,173,서울 서대문구 연희동
서울,서대문구,111191,20030329,0.006,0.4,0.009,0.046,77,서울 서대문구 연희동
서울,서대문구,111191,20030330,0.006,0.3,0.025,0.038,41,서울 서대문구 연희동
서울,서대문구,111191,20030331,0.005,0.3,0.016,0.04,117,서울 서대문구 연희동
서울,마포구,111201,20030212,0.004,0.5,0.018,0.029,50,서울 마포구 대흥동
서울,마포구,111201,20030214,0.012,0.7,0.016,0.048,95,서울 마포구 대흥동
서울,신촌로,111202,20030304,0.007,0.6,0.008,0.027,56,서울 마포구 노고산동
서울,강서구,111212,20030322,0.006,0.7,0.013,0.063,81,서울 강서구 화곡동
서울,강서구,111212,20030323,0.014,0.9,0.019,0.061,159,서울 강서구 화곡동
서울,강서구,111212,20030324,0.004,0.4,0.023,0.041,72,서울 강서구 화곡동
서울,강서구,111212,20030325,0.005,0.6,0.03,0.033,100,서울 강서구 화곡동
서울,강서구,111212,20030327,0.002,0.5,0.033,0.014,171,서울 강서구 화곡동
서울,마포구,111201,20030216,0.014,0.9,0.023,0.046,133,서울 마포구 대흥동
서울,마포구,111201,20030217,0.017,1.4,0.006,0.063,167,서울 마포구 대흥동
서울,마포구,111201,20030218,0.011,0.9,0.007,0.061,140,서울 마포구 대흥동
서울,마포구,111201,20030219,0.011,1,0.005,0.054,137,서울 마포구 대흥동
서울,마포구,111201,20030221,0.011,1.1,0.002,0.069,106,서울 마포구 대흥동
서울,신촌로,111202,20030311,0.009,1.7,0.009,0.028,64,서울 마포구 노고산동
서울,신촌로,111202,20030312,0.013,0.5,0.008,0.035,121,서울 마포구 노고산동
서울,신촌로,111202,20030313,0.01,0.5,0.012,0.03,101,서울 마포구 노고산동
서울,신촌로,111202,20030314,0.012,1.3,0.009,0.057,123,서울 마포구 노고산동
