Area,Mang,Code,Place,Date_hour,SO2,CO,O3,NO2,PM10,PM25,Add,Date
서울 중구,도시대기,111121,중구,2021010112,0.004,0.5,0.013,0.032,36,22,서울 중구 덕수궁길 15,20210101
서울 중구,도시대기,111121,중구,2021010212,0.003,0.4,0.023,0.017,20,9,서울 중구 덕수궁길 15,20210102
서울 중구,도시대기,111121,중구,2021010312,0.003,0.4,0.03,0.011,26,9,서울 중구 덕수궁길 15,20210103
서울 중구,도시대기,111121,중구,2021010412,0.004,0.8,0.011,0.042,49,27,서울 중구 덕수궁길 15,20210104
서울 중구,도시대기,111121,중구,2021010512,0.003,0.4,0.033,0.009,27,12,서울 중구 덕수궁길 15,20210105
서울 중구,도시대기,111121,중구,2021010612,0.003,0.4,0.026,0.017,23,14,서울 중구 덕수궁길 15,20210106
서울 중구,도시대기,111121,중구,2021010712,0.003,0.4,0.025,0.007,35,12,서울 중구 덕수궁길 15,20210107
서울 중구,도시대기,111121,중구,2021010812,0.004,0.4,0.027,0.01,18,9,서울 중구 덕수궁길 15,20210108
서울 중구,도시대기,111121,중구,2021010912,0.004,0.4,0.025,0.011,24,15,서울 중구 덕수궁길 15,20210109
서울 중구,도시대기,111121,중구,2021011012,0.004,0.8,0.01,0.038,54,40,서울 중구 덕수궁길 15,20210110
서울 중구,도시대기,111121,중구,2021011112,0.004,1.1,0.004,0.053,69,50,서울 중구 덕수궁길 15,20210111
서울 중구,도시대기,111121,중구,2021011212,0.004,1.1,0.005,0.056,83,65,서울 중구 덕수궁길 15,20210112
서울 중구,도시대기,111121,중구,2021011312,0.004,1.3,0.006,0.067,135,68,서울 중구 덕수궁길 15,20210113
서울 중구,도시대기,111121,중구,2021011412,0.004,0.8,0.01,0.046,65,27,서울 중구 덕수궁길 15,20210114
서울 중구,도시대기,111121,중구,2021011512,0.005,1.3,0.003,0.072,85,32,서울 중구 덕수궁길 15,20210115
서울 중구,도시대기,111121,중구,2021011612,0.003,0.6,0.023,0.017,66,45,서울 중구 덕수궁길 15,20210116
서울 중구,도시대기,111121,중구,2021011712,0.003,0.4,0.029,0.011,16,10,서울 중구 덕수궁길 15,20210117
서울 중구,도시대기,111121,중구,2021011812,0.003,0.9,0.005,0.048,58,35,서울 중구 덕수궁길 15,20210118
서울 중구,도시대기,111121,중구,2021011912,,,,,,,서울 중구 덕수궁길 15,20210119
서울 중구,도시대기,111121,중구,2021012012,0.003,0.7,0.008,0.047,41,23,서울 중구 덕수궁길 15,20210120
서울 중구,도시대기,111121,중구,2021012112,0.005,0.9,0.004,0.06,54,30,서울 중구 덕수궁길 15,20210121
서울 중구,도시대기,111121,중구,2021012212,0.003,0.7,0.01,0.038,28,18,서울 중구 덕수궁길 15,20210122
서울 중구,도시대기,111121,중구,2021012312,0.003,0.5,0.022,0.028,12,5,서울 중구 덕수궁길 15,20210123
서울 중구,도시대기,111121,중구,2021012412,0.003,0.4,0.029,0.018,10,7,서울 중구 덕수궁길 15,20210124
서울 중구,도시대기,111121,중구,2021012512,0.003,0.6,0.012,0.038,21,12,서울 중구 덕수궁길 15,20210125
서울 중구,도시대기,111121,중구,2021012612,0.004,0.9,0.003,0.057,49,32,서울 중구 덕수궁길 15,20210126
서울 중구,도시대기,111121,중구,2021012712,0.003,0.4,0.026,0.019,35,12,서울 중구 덕수궁길 15,20210127
서울 중구,도시대기,111121,중구,2021012812,,,,,,,서울 중구 덕수궁길 15,20210128
서울 중구,도시대기,111121,중구,2021012912,0.002,0.3,0.031,0.008,18,8,서울 중구 덕수궁길 15,20210129
