Date,Area,GEN,AGG,CNT
202001,서울 마포구,2,5,1322
202001,서울 양천구,1,0,441
202001,서울 양천구,1,1,748
202001,서울 양천구,1,2,772
202001,서울 양천구,1,3,3113
202001,서울 양천구,1,4,2804
202001,서울 양천구,1,5,1439
202001,서울 양천구,2,0,443
202001,서울 양천구,2,1,692
202001,서울 양천구,2,2,666
202001,서울 양천구,2,3,4066
202001,서울 양천구,2,4,3577
202001,서울 양천구,2,5,1719
202001,서울 강서구,1,0,609
202001,서울 강서구,1,1,753
202001,서울 강서구,1,2,527
202001,서울 강서구,1,3,4460
202001,서울 강서구,1,4,3237
202001,서울 강서구,1,5,1809
202001,서울 강서구,2,0,583
202001,서울 강서구,2,1,729
202001,서울 강서구,2,2,506
202001,서울 강서구,2,3,6165
202001,서울 강서구,2,4,4269
202001,서울 강서구,2,5,2335
202001,서울 구로구,1,0,528
202001,서울 구로구,1,1,568
202001,서울 구로구,1,2,420
202001,서울 구로구,1,3,3210
202001,서울 구로구,1,4,2671
202001,서울 구로구,1,5,1636
202001,서울 구로구,2,0,494
202001,서울 구로구,2,1,573
202001,서울 구로구,2,2,325
202001,서울 구로구,2,3,4329
202001,서울 구로구,2,4,3748
202001,서울 구로구,2,5,2040
202001,서울 금천구,1,0,201
202001,서울 금천구,1,1,205
202001,서울 금천구,1,2,143
202001,서울 금천구,1,3,1841
202001,서울 금천구,1,4,1503
202001,서울 금천구,1,5,792
202001,서울 금천구,2,0,183
202001,서울 금천구,2,1,189
202001,서울 금천구,2,2,155
202001,서울 금천구,2,3,2344
202001,서울 금천구,2,4,1928
202001,서울 금천구,2,5,1007
202001,서울 영등포구,1,0,464
202001,서울 영등포구,1,1,437
202001,서울 영등포구,1,2,331
202001,서울 영등포구,1,3,3280
202001,서울 영등포구,1,4,2299
202001,서울 영등포구,1,5,1338
202001,서울 영등포구,2,0,459
202001,서울 영등포구,2,1,378
202001,서울 영등포구,2,2,283
202001,서울 영등포구,2,3,4436
202001,서울 영등포구,2,4,3043
202001,서울 영등포구,2,5,1603
202001,서울 동작구,1,0,371
202001,서울 동작구,1,1,421
202001,서울 동작구,1,2,321
202001,서울 동작구,1,3,3179
202001,서울 동작구,1,4,2095
202001,서울 동작구,1,5,1435
202001,서울 동작구,2,0,340
202001,서울 동작구,2,1,379
